"Region","Org Code","Provider name","Modality","Total_Scans","RequestToTest_Days","TestToReport_Days","Total_Turnaround_Days"
"Y56","RP4","Great Ormond Street Hospital For Children NHS Foundation Trust","Computerized Axial Tomography","3270.0","11.0","1.0","12.0"
"Y56","RP4","Great Ormond Street Hospital For Children NHS Foundation Trust","Diagnostic Ultrasonography","14740.0","36.0","0.0","36.0"
"Y56","RP4","Great Ormond Street Hospital For Children NHS Foundation Trust","Fluoroscopy","4080.0","7.0","0.0","7.0"
"Y56","RP4","Great Ormond Street Hospital For Children NHS Foundation Trust","Magnetic Resonance Imaging","11630.0","51.0","1.0","52.0"
"Y56","RP4","Great Ormond Street Hospital For Children NHS Foundation Trust","Nuclear Medicine Procedure","940.0","48.0","1.0","49.0"
"Y56","RP4","Great Ormond Street Hospital For Children NHS Foundation Trust","Plain Radiography","26480.0","0.0","0.0","0.0"
"Y56","RP4","Great Ormond Street Hospital For Children NHS Foundation Trust","Single Photon Emission Computerized Tomography","120.0","21.0","2.0","23.0"
"Y56","RJ1","Guy's and St Thomas' NHS Foundation Trust","Computerized Axial Tomography","94360.0","6.0","1.0","7.0"
"Y56","RJ1","Guy's and St Thomas' NHS Foundation Trust","Diagnostic Ultrasonography","229435.0","11.0","0.0","11.0"
"Y56","RJ1","Guy's and St Thomas' NHS Foundation Trust","Fluoroscopy","12920.0","2.0","0.0","2.0"
"Y56","RJ1","Guy's and St Thomas' NHS Foundation Trust","Magnetic Resonance Imaging","85450.0","38.0","5.0","43.0"
"Y56","RJ1","Guy's and St Thomas' NHS Foundation Trust","Nuclear Medicine Procedure","8465.0","35.0","1.0","36.0"
"Y56","RJ1","Guy's and St Thomas' NHS Foundation Trust","Plain Radiography","307165.0","0.0","3.0","3.0"
"Y56","RJ1","Guy's and St Thomas' NHS Foundation Trust","Positron Emission Tomography","10865.0","21.0","3.0","24.0"
"Y56","RJ1","Guy's and St Thomas' NHS Foundation Trust","Single Photon Emission Computerized Tomography","790.0","28.0","0.0","28.0"
"Y56","NW6","HCA International","Computerized Axial Tomography","","","",""
"Y56","NYR","Healthshare Diagnostics","Diagnostic Ultrasonography","103265.0","34.0","0.0","34.0"
"Y56","NYR","Healthshare Diagnostics","Magnetic Resonance Imaging","27750.0","40.0","3.0","43.0"
"Y56","NYR","Healthshare Diagnostics","Plain Radiography","1975.0","18.0","0.0","18.0"
"Y56","NMK","Healthshare Ltd","Diagnostic Ultrasonography","2550.0","34.0","0.0","34.0"
"Y56","RQX","Homerton Healthcare NHS Foundation Trust","Computerized Axial Tomography","39780.0","0.0","0.0","0.0"
"Y56","RQX","Homerton Healthcare NHS Foundation Trust","Diagnostic Ultrasonography","59755.0","24.0","0.0","24.0"
"Y56","RQX","Homerton Healthcare NHS Foundation Trust","Fluoroscopy","2115.0","2.0","1.0","3.0"
"Y56","RQX","Homerton Healthcare NHS Foundation Trust","Magnetic Resonance Imaging","23160.0","26.0","2.0","28.0"
"Y56","RQX","Homerton Healthcare NHS Foundation Trust","Nuclear Medicine Procedure","525.0","19.0","5.0","24.0"
"Y56","RQX","Homerton Healthcare NHS Foundation Trust","Plain Radiography","112940.0","0.0","0.0","0.0"
"Y56","RQX","Homerton Healthcare NHS Foundation Trust","Single Photon Emission Computerized Tomography","190.0","0.0","0.0","0.0"
"Y56","RYJ","Imperial College Healthcare NHS Trust","Computerized Axial Tomography","115620.0","0.0","0.0","0.0"
"Y56","RYJ","Imperial College Healthcare NHS Trust","Diagnostic Ultrasonography","101875.0","28.0","0.0","28.0"
"Y56","RYJ","Imperial College Healthcare NHS Trust","Fluoroscopy","10605.0","8.0","0.0","8.0"
"Y56","RYJ","Imperial College Healthcare NHS Trust","Magnetic Resonance Imaging","87420.0","30.0","7.0","37.0"
"Y56","RYJ","Imperial College Healthcare NHS Trust","Nuclear Medicine Procedure","3525.0","25.0","1.0","26.0"
"Y56","RYJ","Imperial College Healthcare NHS Trust","Plain Radiography","210100.0","0.0","1.0","1.0"
"Y56","RYJ","Imperial College Healthcare NHS Trust","Positron Emission Tomography","5285.0","24.0","2.0","26.0"
"Y56","RYJ","Imperial College Healthcare NHS Trust","Single Photon Emission Computerized Tomography","1450.0","28.0","3.0","31.0"
"Y56","NV1","Inhealth Limited","Diagnostic Ultrasonography","61495.0","42.0","0.0","42.0"
"Y56","NV1","Inhealth Limited","Magnetic Resonance Imaging","61230.0","15.0","1.0","16.0"
"Y56","NV1","Inhealth Limited","Plain Radiography","2750.0","20.0","0.0","20.0"
"Y56","RJZ","King's College Hospital NHS Foundation Trust","Computerized Axial Tomography","110280.0","0.0","0.0","0.0"
"Y56","RJZ","King's College Hospital NHS Foundation Trust","Diagnostic Ultrasonography","180450.0","26.0","0.0","26.0"
"Y56","RJZ","King's College Hospital NHS Foundation Trust","Fluoroscopy","9260.0","1.0","0.0","1.0"
"Y56","RJZ","King's College Hospital NHS Foundation Trust","Magnetic Resonance Imaging","62570.0","14.0","2.0","16.0"
"Y56","RJZ","King's College Hospital NHS Foundation Trust","Nuclear Medicine Procedure","3575.0","24.0","1.0","25.0"
"Y56","RJZ","King's College Hospital NHS Foundation Trust","Plain Radiography","315665.0","0.0","1.0","1.0"
"Y56","RJZ","King's College Hospital NHS Foundation Trust","Single Photon Emission Computerized Tomography","260.0","18.0","7.0","25.0"
"Y56","RAX","Kingston and Richmond NHS Foundation Trust","Computerized Axial Tomography","41660.0","1.0","0.0","1.0"
"Y56","RAX","Kingston and Richmond NHS Foundation Trust","Diagnostic Ultrasonography","81255.0","12.0","0.0","12.0"
"Y56","RAX","Kingston and Richmond NHS Foundation Trust","Fluoroscopy","2680.0","2.0","0.0","2.0"
"Y56","RAX","Kingston and Richmond NHS Foundation Trust","Magnetic Resonance Imaging","30650.0","24.0","3.0","27.0"
"Y56","RAX","Kingston and Richmond NHS Foundation Trust","Nuclear Medicine Procedure","1530.0","17.0","1.0","18.0"
"Y56","RAX","Kingston and Richmond NHS Foundation Trust","Plain Radiography","145430.0","0.0","1.0","1.0"
"Y56","RAX","Kingston and Richmond NHS Foundation Trust","Single Photon Emission Computerized Tomography","200.0","23.0","3.0","26.0"
"Y56","RJ2","Lewisham and Greenwich NHS Trust","Computerized Axial Tomography","78485.0","0.0","0.0","0.0"
"Y56","RJ2","Lewisham and Greenwich NHS Trust","Diagnostic Ultrasonography","134965.0","21.0","0.0","21.0"
"Y56","RJ2","Lewisham and Greenwich NHS Trust","Fluoroscopy","3460.0","5.0","0.0","5.0"
"Y56","RJ2","Lewisham and Greenwich NHS Trust","Magnetic Resonance Imaging","30155.0","28.0","2.0","30.0"
"Y56","RJ2","Lewisham and Greenwich NHS Trust","Nuclear Medicine Procedure","1080.0","24.0","1.0","25.0"
"Y56","RJ2","Lewisham and Greenwich NHS Trust","Plain Radiography","243350.0","0.0","3.0","3.0"
"Y56","RJ2","Lewisham and Greenwich NHS Trust","Positron Emission Tomography","5.0","0.0","0.0","0.0"
"Y56","RJ2","Lewisham and Greenwich NHS Trust","Single Photon Emission Computerized Tomography","215.0","13.0","1.0","14.0"
"Y56","R1K","London North West University Healthcare NHS Trust","Computerized Axial Tomography","92155.0","0.0","0.0","0.0"
"Y56","R1K","London North West University Healthcare NHS Trust","Diagnostic Ultrasonography","103875.0","21.0","0.0","21.0"
"Y56","R1K","London North West University Healthcare NHS Trust","Fluoroscopy","7840.0","0.0","0.0","0.0"
"Y56","R1K","London North West University Healthcare NHS Trust","Magnetic Resonance Imaging","44205.0","17.0","8.0","25.0"
"Y56","R1K","London North West University Healthcare NHS Trust","Nuclear Medicine Procedure","1570.0","31.0","1.0","32.0"
"Y56","R1K","London North West University Healthcare NHS Trust","Plain Radiography","314075.0","0.0","2.0","2.0"
"Y56","R1K","London North West University Healthcare NHS Trust","Single Photon Emission Computerized Tomography","240.0","36.0","4.0","40.0"
"Y56","RP6","Moorfields Eye Hospital NHS Foundation Trust","Computerized Axial Tomography","1275.0","0.0","10.0","10.0"
"Y56","RP6","Moorfields Eye Hospital NHS Foundation Trust","Diagnostic Ultrasonography","4360.0","0.0","0.0","0.0"
"Y56","RP6","Moorfields Eye Hospital NHS Foundation Trust","Fluoroscopy","135.0","16.0","12.0","28.0"
"Y56","RP6","Moorfields Eye Hospital NHS Foundation Trust","Magnetic Resonance Imaging","4390.0","34.0","8.0","42.0"
"Y56","RP6","Moorfields Eye Hospital NHS Foundation Trust","Nuclear Medicine Procedure","15.0","12.0","7.0","19.0"
"Y56","RP6","Moorfields Eye Hospital NHS Foundation Trust","Plain Radiography","1060.0","0.0","10.0","10.0"
"Y56","RAP","North Middlesex University Hospital NHS Trust","Computerized Axial Tomography","32025.0","0.0","0.0","0.0"
"Y56","RAP","North Middlesex University Hospital NHS Trust","Diagnostic Ultrasonography","27890.0","23.0","0.0","23.0"
"Y56","RAP","North Middlesex University Hospital NHS Trust","Fluoroscopy","2450.0","0.0","0.0","0.0"
"Y56","RAP","North Middlesex University Hospital NHS Trust","Magnetic Resonance Imaging","10985.0","20.0","6.0","26.0"
"Y56","RAP","North Middlesex University Hospital NHS Trust","Nuclear Medicine Procedure","1040.0","7.0","4.0","11.0"
"Y56","RAP","North Middlesex University Hospital NHS Trust","Plain Radiography","71165.0","0.0","12.0","12.0"
"Y56","RAP","North Middlesex University Hospital NHS Trust","Positron Emission Tomography","10.0","10.0","13.0","23.0"
"Y56","RAP","North Middlesex University Hospital NHS Trust","Single Photon Emission Computerized Tomography","875.0","6.0","4.0","10.0"
"Y56","NT2","Nuffield Health","Diagnostic Ultrasonography","15.0","9.5","0.0","9.5"
"Y56","NT2","Nuffield Health","Fluoroscopy","5.0","1.0","0.0","1.0"
"Y56","NT2","Nuffield Health","Magnetic Resonance Imaging","10.0","9.0","2.0","11.0"
"Y56","NT2","Nuffield Health","Plain Radiography","25.0","0.0","1.5","1.5"
"Y56","RAL","Royal Free London NHS Foundation Trust","Computerized Axial Tomography","142810.0","1.0","0.0","1.0"
"Y56","RAL","Royal Free London NHS Foundation Trust","Diagnostic Ultrasonography","201075.0","23.0","0.0","23.0"
"Y56","RAL","Royal Free London NHS Foundation Trust","Fluoroscopy","11195.0","0.0","0.0","0.0"
"Y56","RAL","Royal Free London NHS Foundation Trust","Magnetic Resonance Imaging","76025.0","21.0","2.0","23.0"
"Y56","RAL","Royal Free London NHS Foundation Trust","Nuclear Medicine Procedure","6800.0","27.0","1.0","28.0"
"Y56","RAL","Royal Free London NHS Foundation Trust","Plain Radiography","359165.0","0.0","3.0","3.0"
"Y56","RAL","Royal Free London NHS Foundation Trust","Positron Emission Tomography","6540.0","9.0","3.0","12.0"
"Y56","RAL","Royal Free London NHS Foundation Trust","Single Photon Emission Computerized Tomography","3195.0","8.0","3.0","11.0"
"Y56","RAN","Royal National Orthopaedic Hospital NHS Trust","Computerized Axial Tomography","6050.0","14.0","7.0","21.0"
"Y56","RAN","Royal National Orthopaedic Hospital NHS Trust","Diagnostic Ultrasonography","8005.0","35.0","0.0","35.0"
"Y56","RAN","Royal National Orthopaedic Hospital NHS Trust","Fluoroscopy","1440.0","33.0","0.0","33.0"
"Y56","RAN","Royal National Orthopaedic Hospital NHS Trust","Magnetic Resonance Imaging","15255.0","40.0","16.0","56.0"
"Y56","RAN","Royal National Orthopaedic Hospital NHS Trust","Nuclear Medicine Procedure","25.0","35.0","11.0","46.0"
"Y56","RAN","Royal National Orthopaedic Hospital NHS Trust","Plain Radiography","49875.0","1.0","3.0","4.0"
"Y56","RAN","Royal National Orthopaedic Hospital NHS Trust","Single Photon Emission Computerized Tomography","610.0","50.0","13.0","63.0"
"Y56","RV5","South London and Maudsley NHS Foundation Trust","Magnetic Resonance Imaging","1620.0","21.0","8.0","29.0"
"Y56","NT3","Spire Healthcare","Computerized Axial Tomography","655.0","10.0","2.0","12.0"
"Y56","NT3","Spire Healthcare","Diagnostic Ultrasonography","5295.0","19.0","0.0","19.0"
"Y56","NT3","Spire Healthcare","Fluoroscopy","1160.0","1.0","7.0","8.0"
"Y56","NT3","Spire Healthcare","Magnetic Resonance Imaging","3250.0","13.0","2.0","15.0"
"Y56","NT3","Spire Healthcare","Plain Radiography","2405.0","0.0","4.0","4.0"
"Y56","RJ7","St George's University Hospitals NHS Foundation Trust","Computerized Axial Tomography","64790.0","0.0","1.0","1.0"
"Y56","RJ7","St George's University Hospitals NHS Foundation Trust","Diagnostic Ultrasonography","89690.0","31.0","0.0","31.0"
"Y56","RJ7","St George's University Hospitals NHS Foundation Trust","Fluoroscopy","15810.0","0.0","0.0","0.0"
"Y56","RJ7","St George's University Hospitals NHS Foundation Trust","Magnetic Resonance Imaging","45325.0","21.0","3.0","24.0"
"Y56","RJ7","St George's University Hospitals NHS Foundation Trust","Nuclear Medicine Procedure","3480.0","23.0","0.0","23.0"
"Y56","RJ7","St George's University Hospitals NHS Foundation Trust","Plain Radiography","185300.0","0.0","3.0","3.0"
"Y56","RJ7","St George's University Hospitals NHS Foundation Trust","Positron Emission Tomography","2475.0","12.0","3.0","15.0"
"Y56","RJ7","St George's University Hospitals NHS Foundation Trust","Single Photon Emission Computerized Tomography","605.0","20.0","0.0","20.0"
"Y56","RAS","The Hillingdon Hospitals NHS Foundation Trust","Computerized Axial Tomography","35930.0","0.0","0.0","0.0"
"Y56","RAS","The Hillingdon Hospitals NHS Foundation Trust","Diagnostic Ultrasonography","67425.0","20.0","0.0","20.0"
"Y56","RAS","The Hillingdon Hospitals NHS Foundation Trust","Fluoroscopy","1445.0","11.0","0.0","11.0"
"Y56","RAS","The Hillingdon Hospitals NHS Foundation Trust","Magnetic Resonance Imaging","15245.0","29.0","11.0","40.0"
"Y56","RAS","The Hillingdon Hospitals NHS Foundation Trust","Nuclear Medicine Procedure","935.0","19.0","6.0","25.0"
"Y56","RAS","The Hillingdon Hospitals NHS Foundation Trust","Plain Radiography","121715.0","0.0","1.0","1.0"
"Y56","RAS","The Hillingdon Hospitals NHS Foundation Trust","Single Photon Emission Computerized Tomography","410.0","24.0","6.0","30.0"
"Y56","RPY","The Royal Marsden NHS Foundation Trust","Computerized Axial Tomography","23850.0","0.0","4.0","4.0"
"Y56","RPY","The Royal Marsden NHS Foundation Trust","Diagnostic Ultrasonography","20265.0","0.0","0.0","0.0"
"Y56","RPY","The Royal Marsden NHS Foundation Trust","Fluoroscopy","660.0","0.0","0.0","0.0"
"Y56","RPY","The Royal Marsden NHS Foundation Trust","Magnetic Resonance Imaging","18730.0","0.0","4.0","4.0"
"Y56","RPY","The Royal Marsden NHS Foundation Trust","Nuclear Medicine Procedure","3925.0","0.0","0.0","0.0"
"Y56","RPY","The Royal Marsden NHS Foundation Trust","Plain Radiography","23175.0","0.0","1.0","1.0"
"Y56","RPY","The Royal Marsden NHS Foundation Trust","Positron Emission Tomography","10845.0","0.0","2.0","2.0"
"Y56","RPY","The Royal Marsden NHS Foundation Trust","Single Photon Emission Computerized Tomography","160.0","0.0","1.0","1.0"
"Y56","RRV","University College London Hospitals NHS Foundation Trust","Computerized Axial Tomography","74035.0","1.0","0.0","1.0"
"Y56","RRV","University College London Hospitals NHS Foundation Trust","Diagnostic Ultrasonography","51170.0","17.0","0.0","17.0"
"Y56","RRV","University College London Hospitals NHS Foundation Trust","Fluoroscopy","9290.0","17.0","0.0","17.0"
"Y56","RRV","University College London Hospitals NHS Foundation Trust","Magnetic Resonance Imaging","76055.0","29.0","7.0","36.0"
"Y56","RRV","University College London Hospitals NHS Foundation Trust","Nuclear Medicine Procedure","4545.0","19.0","2.0","21.0"
"Y56","RRV","University College London Hospitals NHS Foundation Trust","Plain Radiography","178485.0","0.0","1.0","1.0"
"Y56","RRV","University College London Hospitals NHS Foundation Trust","Positron Emission Tomography","13035.0","10.0","3.0","13.0"
"Y56","RRV","University College London Hospitals NHS Foundation Trust","Single Photon Emission Computerized Tomography","1035.0","20.0","2.0","22.0"
"Y56","RKE","Whittington Health NHS Trust","Computerized Axial Tomography","35560.0","0.0","0.0","0.0"
"Y56","RKE","Whittington Health NHS Trust","Diagnostic Ultrasonography","86310.0","21.0","0.0","21.0"
"Y56","RKE","Whittington Health NHS Trust","Fluoroscopy","1230.0","6.0","0.0","6.0"
"Y56","RKE","Whittington Health NHS Trust","Magnetic Resonance Imaging","24735.0","28.0","2.0","30.0"
"Y56","RKE","Whittington Health NHS Trust","Nuclear Medicine Procedure","1760.0","27.0","5.0","32.0"
"Y56","RKE","Whittington Health NHS Trust","Plain Radiography","112140.0","0.0","1.0","1.0"
"Y56","RKE","Whittington Health NHS Trust","Positron Emission Tomography","5.0","5.0","5.0","10.0"
"Y56","RKE","Whittington Health NHS Trust","Single Photon Emission Computerized Tomography","540.0","12.0","1.0","13.0"
"Y58","NT9","Alliance Medical","Computerized Axial Tomography","6365.0","23.0","1.0","24.0"
"Y58","NT9","Alliance Medical","Diagnostic Ultrasonography","3540.0","7.0","0.0","7.0"
"Y58","NT9","Alliance Medical","Magnetic Resonance Imaging","8975.0","21.0","3.0","24.0"
"Y58","NT9","Alliance Medical","Nuclear Medicine Procedure","5.0","59.0","4.0","63.0"
"Y58","NT9","Alliance Medical","Plain Radiography","8735.0","14.0","7.0","21.0"
"Y58","NT9","Alliance Medical","Positron Emission Tomography","17625.0","12.0","2.0","14.0"
"Y58","NT4","Circle Health Group Limited","Computerized Axial Tomography","185.0","13.0","1.0","14.0"
"Y58","NT4","Circle Health Group Limited","Diagnostic Ultrasonography","295.0","8.0","0.0","8.0"
"Y58","NT4","Circle Health Group Limited","Fluoroscopy","5.0","22.0","0.0","22.0"
"Y58","NT4","Circle Health Group Limited","Magnetic Resonance Imaging","670.0","16.0","1.0","17.0"
"Y58","NT4","Circle Health Group Limited","Plain Radiography","75.0","12.0","0.0","12.0"
"Y58","AC7","Cobalt Health","Computerized Axial Tomography","2970.0","9.0","4.0","13.0"
"Y58","AC7","Cobalt Health","Magnetic Resonance Imaging","5440.0","4.0","2.0","6.0"
"Y58","AC7","Cobalt Health","Plain Radiography","5.0","1.0","0.0","1.0"
"Y58","AC7","Cobalt Health","Positron Emission Tomography","4770.0","2.0","2.0","4.0"
"Y58","RBD","Dorset County Hospital NHS Foundation Trust","Computerized Axial Tomography","27265.0","2.0","0.0","2.0"
"Y58","RBD","Dorset County Hospital NHS Foundation Trust","Diagnostic Ultrasonography","30600.0","20.0","0.0","20.0"
"Y58","RBD","Dorset County Hospital NHS Foundation Trust","Fluoroscopy","1670.0","1.0","0.0","1.0"
"Y58","RBD","Dorset County Hospital NHS Foundation Trust","Magnetic Resonance Imaging","10390.0","21.0","4.0","25.0"
"Y58","RBD","Dorset County Hospital NHS Foundation Trust","Plain Radiography","82225.0","0.0","1.0","1.0"
"Y58","RBD","Dorset County Hospital NHS Foundation Trust","Positron Emission Tomography","1005.0","0.0","2.0","2.0"
"Y58","RDY","Dorset Healthcare University NHS Foundation Trust","Diagnostic Ultrasonography","3860.0","27.0","0.0","27.0"
"Y58","RDY","Dorset Healthcare University NHS Foundation Trust","Plain Radiography","15075.0","6.0","6.0","12.0"
"Y58","RTE","Gloucestershire Hospitals NHS Foundation Trust","Computerized Axial Tomography","60265.0","0.0","0.0","0.0"
"Y58","RTE","Gloucestershire Hospitals NHS Foundation Trust","Diagnostic Ultrasonography","71535.0","21.0","0.0","21.0"
"Y58","RTE","Gloucestershire Hospitals NHS Foundation Trust","Fluoroscopy","7255.0","0.0","2.0","2.0"
"Y58","RTE","Gloucestershire Hospitals NHS Foundation Trust","Magnetic Resonance Imaging","22510.0","15.0","6.0","21.0"
"Y58","RTE","Gloucestershire Hospitals NHS Foundation Trust","Nuclear Medicine Procedure","2120.0","22.0","2.0","24.0"
"Y58","RTE","Gloucestershire Hospitals NHS Foundation Trust","Plain Radiography","173915.0","0.0","5.0","5.0"
"Y58","RTE","Gloucestershire Hospitals NHS Foundation Trust","Positron Emission Tomography","2130.0","0.0","26.0","26.0"
"Y58","RTE","Gloucestershire Hospitals NHS Foundation Trust","Single Photon Emission Computerized Tomography","450.0","16.5","2.0","18.5"
"Y58","RN3","Great Western Hospitals NHS Foundation Trust","Computerized Axial Tomography","46685.0","1.0","0.0","1.0"
"Y58","RN3","Great Western Hospitals NHS Foundation Trust","Diagnostic Ultrasonography","61850.0","14.0","0.0","14.0"
"Y58","RN3","Great Western Hospitals NHS Foundation Trust","Fluoroscopy","2245.0","12.0","0.0","12.0"
"Y58","RN3","Great Western Hospitals NHS Foundation Trust","Magnetic Resonance Imaging","18950.0","13.0","1.0","14.0"
"Y58","RN3","Great Western Hospitals NHS Foundation Trust","Nuclear Medicine Procedure","705.0","20.0","1.0","21.0"
"Y58","RN3","Great Western Hospitals NHS Foundation Trust","Plain Radiography","131590.0","0.0","1.0","1.0"
"Y58","RN3","Great Western Hospitals NHS Foundation Trust","Single Photon Emission Computerized Tomography","15.0","83.5","2.5","86.0"
"Y58","NYR","Healthshare Diagnostics","Diagnostic Ultrasonography","70.0","26.0","0.0","26.0"
"Y58","NYR","Healthshare Diagnostics","Plain Radiography","50.0","24.0","7.0","31.0"
"Y58","NV1","Inhealth Limited","Computerized Axial Tomography","295.0","4.0","1.0","5.0"
"Y58","NV1","Inhealth Limited","Diagnostic Ultrasonography","","","",""
"Y58","NV1","Inhealth Limited","Magnetic Resonance Imaging","65.0","8.0","1.0","9.0"
"Y58","NV1","Inhealth Limited","Plain Radiography","5.0","8.0","0.0","8.0"
"Y58","NV1","Inhealth Limited","Positron Emission Tomography","100.0","10.0","3.0","13.0"
"Y58","RVJ","North Bristol NHS Trust","Computerized Axial Tomography","79725.0","1.0","0.0","1.0"
"Y58","RVJ","North Bristol NHS Trust","Diagnostic Ultrasonography","67580.0","28.0","0.0","28.0"
